caseId,contractId,contractArm,track,scenarioId,httpStatus,structural,measurementAdmissibility,measurementLimited,semanticVerdict,reason,responseBytes,responseSha256
ESSENTIAL12x7-V2-E3-SDD-stage6r3-reject-card-missing,E3-SDD-stage6r3,SDD,posting,reject-card-missing,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,300,c38cc45a2be369a442f24f9d1b86c56deeb3becb8373a9ae552d2a3d212833cf
ESSENTIAL12x7-V2-E3-SDD-stage6r3-reject-account-missing,E3-SDD-stage6r3,SDD,posting,reject-account-missing,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,300,c38cc45a2be369a442f24f9d1b86c56deeb3becb8373a9ae552d2a3d212833cf
ESSENTIAL12x7-V2-E3-SDD-stage6r3-reject-limit,E3-SDD-stage6r3,SDD,posting,reject-limit,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,300,c38cc45a2be369a442f24f9d1b86c56deeb3becb8373a9ae552d2a3d212833cf
ESSENTIAL12x7-V2-E3-SDD-stage6r3-reject-expiry,E3-SDD-stage6r3,SDD,posting,reject-expiry,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,300,c38cc45a2be369a442f24f9d1b86c56deeb3becb8373a9ae552d2a3d212833cf
ESSENTIAL12x7-V2-E3-SDD-stage6r3-rates-specific-default-zero,E3-SDD-stage6r3,SDD,interest,rates-specific-default-zero,200,schema_valid,admissible_preparatory,False,pass,interest formula matched source-derived balances/rates and actual TRANSACT bytes,1849,8932d4c61bf7649ff43004ca20e3096c7096c8767b0cdaab6758b28aec4b8b2d
ESSENTIAL12x7-V2-E3-SDD-stage6r3-single-final-eof,E3-SDD-stage6r3,SDD,interest,single-final-eof,200,schema_valid,admissible_preparatory,False,pass,interest formula matched source-derived balances/rates and actual TRANSACT bytes,990,28713bde1d9bd7a722340106a90cca6c0e8984f850b52fcb09ec0dc1c7909830
ESSENTIAL12x7-V2-E3-SDD-stage6r3-date-boundaries-in-out-v1,E3-SDD-stage6r3,SDD,reporting,date-boundaries-in-out-v1,200,schema_valid,admissible_preparatory,False,inconclusive,TRANREPT-SRC-TOTALS-FINANCIAL-CORRECTNESS=not_observable,826,a75c154b84ff3f57ec035cdb7e35dafdb28f4951e7e002491d13361dfbb98520
ESSENTIAL12x7-V2-E3-SDD-stage6r3-empty-in-range-v1,E3-SDD-stage6r3,SDD,reporting,empty-in-range-v1,200,schema_valid,admissible_preparatory,False,failed,report_empty,134,220d391e7495c4963a867748d3a6340df1ee2b67decafce148b287a1892cd67f
ESSENTIAL12x7-V2-E3-SDD-stage6r3-card-break-two-groups-v1,E3-SDD-stage6r3,SDD,reporting,card-break-two-groups-v1,200,schema_valid,admissible_preparatory,False,inconclusive,qualified extractor error: InvalidOperation: [<class 'decimal.ConversionSyntax'>],1593,da5a0da669d1c7326ad03588d92cb4c64fb94c9f00d5e7a45e9b1cd2e1b8ecef
ESSENTIAL12x7-V2-E3-SDD-stage6r3-pagination-threshold-20-v1,E3-SDD-stage6r3,SDD,reporting,pagination-threshold-20-v1,200,schema_valid,admissible_preparatory,False,inconclusive,qualified extractor error: InvalidOperation: [<class 'decimal.ConversionSyntax'>],5946,695a03893a5ea3bc503e85a04b05716b11ae3f55975e931f1d73c71ebcce5551
